Time,i-c1.S,i-c1.E,i-c1.P,i-c1.Iu,i-c1.Ic,i-c1.Ru,i-c1.Rc,i-c1.D,i-c1.cases,i-c1.Phase
0.000000,60458041.270178,2524.486548,631.121637,476.121637,155.000000,0.000000,0.000000,0.000000,155.000000,0.000000
0.100000,60457995.487820,2508.008684,630.908249,528.651495,158.421014,4.673564,1.457810,0.391364,159.971876,0.000000
0.200000,60457944.827151,2496.124108,630.386454,580.629107,162.362408,9.885595,2.964931,0.820246,165.516590,0.000000
0.300000,60457890.691514,2487.965231,629.676362,631.515540,166.776409,15.581136,4.511312,1.282497,171.575676,0.000000
0.400000,60457833.121183,2483.400275,628.882993,681.319039,171.647486,21.749960,6.101323,1.777741,178.138255,0.000000
0.500000,60457772.155654,2482.301485,628.098279,730.057425,176.960398,28.381964,7.739190,2.305606,185.193579,0.000000
0.600000,60457707.833182,2484.545488,627.402411,777.756684,182.700270,35.467250,9.428997,2.865718,192.731117,0.000000
0.700000,60457640.190391,2490.013569,626.865063,824.449700,188.852671,42.996199,11.174689,3.457716,200.740638,0.000000
0.800000,60457569.261942,2498.591886,626.546509,870.175133,195.403670,50.959528,12.980079,4.081252,209.212264,0.000000
0.900000,60457495.080252,2510.171623,626.498633,914.976426,202.339883,59.348341,14.848851,4.735991,218.136533,0.000000
1.000000,60457417.675261,2524.649096,626.765853,958.900923,209.648512,68.154167,16.784566,5.421621,227.504433,0.000000
1.100000,60457337.074244,2541.925819,627.385949,1001.999098,217.317373,77.368999,18.790668,6.137851,237.307445,0.000000
1.200000,60457253.301652,2561.908522,628.390826,1044.323868,225.334919,86.985312,20.870488,6.884413,247.537566,0.000000
1.300000,60457166.378994,2584.509150,629.807191,1085.930004,233.690253,96.996091,23.027253,7.661065,258.187331,0.000000
1.400000,60457076.324739,2609.644820,631.657177,1126.873605,242.373138,107.394840,25.264090,8.467591,269.249830,0.000000
1.500000,60456983.154247,2637.237769,633.958896,1167.211647,251.374004,118.175597,27.584033,9.303806,280.718720,0.000000
1.600000,60456886.879722,2667.215273,636.726947,1207.001599,260.683943,129.332936,29.990029,10.169551,292.588229,0.000000
1.700000,60456787.510178,2699.509553,639.972867,1246.301078,270.294711,140.861973,32.484945,11.064697,304.853162,0.000000
1.800000,60456685.051426,2734.057666,643.705539,1285.167571,280.198717,152.758365,35.071571,11.989145,317.508899,0.000000
1.900000,60456579.506073,2770.801390,647.931559,1323.658192,290.389017,165.018309,37.752633,12.942826,330.551393,0.000000
2.000000,60456470.873531,2809.687096,652.655565,1361.829477,300.859303,177.638536,40.530791,13.925702,343.977166,0.000000
2.100000,60456359.150035,2850.665616,657.880531,1399.737218,311.603885,190.616302,43.408650,14.937763,357.783300,0.000000
2.200000,60456244.328674,2893.692106,663.608028,1437.436323,322.617684,203.949388,46.388765,15.979031,371.967434,0.000000
2.300000,60456126.399418,2938.725908,669.838463,1474.980713,333.896212,217.636084,49.473645,17.049557,386.527749,0.000000
2.400000,60456005.349161,2985.730406,676.571282,1512.423231,345.435557,231.675182,52.665759,18.149422,401.462960,0.000000
2.500000,60455881.161763,3034.672887,683.805163,1549.815579,357.232365,246.065966,55.967543,19.278735,416.772305,0.000000
2.600000,60455753.818091,3085.524398,691.538173,1587.208272,369.283827,260.808201,59.381404,20.437634,432.455533,0.000000
2.700000,60455623.296071,3138.259609,699.767919,1624.650612,381.587655,275.902120,62.909725,21.626288,448.512894,0.000000
2.800000,60455489.570732,3192.856678,708.491677,1662.190669,394.142070,291.348415,66.554869,22.844890,464.945122,0.000000
2.900000,60455352.614256,3249.297109,717.706499,1699.875280,406.945784,307.148222,70.319185,24.093664,481.753428,0.000000
3.000000,60455212.396028,3307.565631,727.409319,1737.750054,419.997981,323.303115,74.205013,25.372859,498.939484,0.000000
3.100000,60455068.882681,3367.650064,737.597036,1775.859394,433.298299,339.815087,78.214686,26.682751,516.505412,0.000000
3.200000,60454922.038146,3429.541201,748.266591,1814.246516,446.846819,356.686547,82.350537,28.023644,534.453773,0.000000
3.300000,60454771.823695,3493.232685,759.415029,1852.953483,460.644043,373.920301,86.614900,29.395864,552.787554,0.000000
3.400000,60454618.197987,3558.720900,771.039561,1892.021239,474.690882,391.519547,91.010118,30.799766,571.510157,0.000000
3.500000,60454461.117108,3626.004859,783.137607,1931.489651,488.988640,409.487864,95.538543,32.235728,590.625388,0.000000
3.600000,60454300.534614,3695.086099,795.706841,1971.397554,503.538999,427.829199,100.202540,33.704154,610.137446,0.000000
3.700000,60454136.401562,3765.968585,808.745224,2011.782798,518.344007,446.547861,105.004494,35.205469,630.050915,0.000000
